Date,AAPL,AMZN,AVGO,BRK-B,GOOGL,HD,JNJ,JPM,LLY,MA,META,MRK,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
2017-10-10,36.41499710083008,49.36000061035156,19.376197814941406,188.0,49.05168533325195,136.17996215820312,107.11418914794922,78.41661834716797,76.09712982177734,139.47328186035156,170.53868103027344,48.0449104309082,69.94589233398438,4.667935371398926,74.09000396728516,23.70599937438965,171.86404418945312,101.5443115234375,24.59427833557129,57.02107620239258
2017-10-11,36.56681823730469,49.75,19.723560333251953,187.4600067138672,49.938072204589844,136.25411987304688,109.3140869140625,78.1824951171875,76.00879669189453,140.6224365234375,171.68162536621094,47.53807830810547,70.06509399414062,4.717597484588623,73.96062469482422,23.639999389648438,172.37612915039062,102.61357879638672,25.062015533447266,57.256752014160156
2017-10-12,36.4383544921875,50.04650115966797,19.59280776977539,186.3000030517578,49.938072204589844,135.7099609375,109.45807647705078,77.49626922607422,76.33562469482422,140.51707458496094,171.49278259277344,47.57536315917969,70.70687103271484,4.719821929931641,74.51860809326172,23.711999893188477,170.3103790283203,102.30126953125,25.170181274414062,57.13890838623047
2017-10-13,36.669593811035156,50.14699935913086,19.53135871887207,187.3699951171875,50.048316955566406,135.6110076904297,109.13807678222656,77.39131164550781,76.44158935546875,141.09161376953125,172.67552185058594,47.24739456176758,71.04609680175781,4.807778835296631,75.23831939697266,23.704666137695312,169.95729064941406,102.82177734375,25.322193145751953,57.125038146972656
2017-10-16,37.34463119506836,50.31700134277344,19.429752349853516,187.9600067138672,50.12180709838867,135.40489196777344,108.89009857177734,78.98983001708984,75.91165161132812,140.01910400390625,173.45074462890625,47.210121154785156,71.19279479980469,4.890300750732422,75.31915283203125,23.373332977294922,170.5575408935547,102.48110961914062,25.06493377685547,57.40232467651367
2017-10-17,37.482452392578125,50.45650100708008,19.110746383666992,187.38999938964844,50.203739166259766,134.68756103515625,112.62589263916016,78.81222534179688,76.00879669189453,139.74143981933594,175.03099060058594,47.12067794799805,71.13778686523438,4.8858537673950195,75.04425811767578,23.71666717529297,179.99472045898438,101.7619400024414,25.135099411010742,57.50630569458008
2017-10-18,37.31660461425781,49.849998474121094,19.219436645507812,187.85000610351562,50.29014587402344,134.76995849609375,112.53789520263672,79.11093139648438,75.71733856201172,139.9904327392578,174.95147705078125,47.33682632446289,71.15612030029297,4.881654262542725,75.01998901367188,23.976667404174805,181.1776580810547,102.00796508789062,25.20525360107422,57.36768341064453
2017-10-19,36.433677673339844,49.330501556396484,19.242290496826172,187.2100067138672,49.748878479003906,134.59686279296875,113.62580871582031,79.20780944824219,76.27377319335938,138.83169555664062,173.490478515625,47.515708923339844,71.43115234375,4.887089729309082,74.6207504272461,23.45400047302246,179.42971801757812,101.2698745727539,25.257877349853516,57.353824615478516
2017-10-20,36.49674987792969,49.14550018310547,19.238344192504883,189.0399932861328,49.90927505493164,134.75347900390625,113.91384887695312,80.33808898925781,77.04216766357422,139.21478271484375,173.90789794921875,47.61260223388672,72.2563247680664,4.8648529052734375,71.8995590209961,23.00666618347168,183.17279052734375,101.77140808105469,25.56191062927246,57.610286712646484
2017-10-23,36.478057861328125,48.314998626708984,19.24070930480957,189.38999938964844,48.93946075439453,135.83364868164062,114.8897933959961,80.20083618164062,76.99800872802734,139.38710021972656,170.22064208984375,47.25483703613281,72.27466583251953,4.857936859130859,71.12559509277344,22.468000411987305,182.74908447265625,101.75247955322266,25.915632247924805,57.700382232666016
